File Name,Phone Number,Message,Time,Date
20201028_224947000_iOS.png,+1 (309) 650-6607,"It's Martha. Felician, I've reachedout 4 times about the danger ofMark Kelly blocking thisconfirmation. He just outraisedme! | need you: got-us.com/ixh", 11:00 AM, Oct 20
20201028_224954000_iOS.png,+1 (857) 289-0686,We reached out 7 times. This isyour final notice Felician. Weneed 150 patriots before Trumpleaves the rally stage tonight.6X-Matching gopwin.us/Og8 , 9:36 AM, Oct 20
20201028_225000000_iOS.png,+1 (573) 242-8237,"We didn't hear from you Felician.If all Patriots donate $35,President Trump & Republicanswill win big in Nov. 6X-Match for2 hrs gopwin.us/g3k ", 4:01 PM, Oct 19
20201028_225009000_iOS.png,+1 (573) 242-8237,"We didn't hear from you Felician.If all Patriots donate $35,President Trump & Republicanswill win big in Nov. 6X-Match for2 hrs gopwin.us/g3k ", 4:01 PM, Oct 19
20201028_225016000_iOS.png,+1 (815) 524-2681,Biden Supporter Status:Confirmed. Do you no longerstand with Pres. Trump Felician?30min to correct your recordbefore it's finalized trump-news.co/cd4g, 2:41 PM, Oct 19
20201028_225023000_iOS.png,+1 (707) 897-6332,"All Pro-Trump Patriots who standwith the President before 9PMtoday will receive a *bonus*300% match. Last chance toclaim yours, Felician!reps20.com/qf5", 12:26 PM, Oct 19
20201028_225031000_iOS.png,+1 (617) 977-8102,"Felician, Cory Gardner needsyour help. We only need 7 moredonors from your area. Onlyhours left, will you help him out?rep-0.com/uwza ® *", 7:33 AM, Oct 19
20201028_225039000_iOS.png,+1 (681) 261-8254,"Felician, you missed messagesfrom Don Jr., Spicer & Newt.Your (1) 600% match is on hold& expires in 3 hrs. Trump & alliesneed you: gopwin.us/tan ", 4:24 PM, Oct 18
20201028_225100000_iOS.png,+1 (918) 367-0069,"Felician, Tim Scott here. Demsonly need to flip four seats togain control of the Senate &they're targeting Georgia. Canyou chip in $10? run-us.com/oun", 8:51 AM, Oct 18
20201028_225112000_iOS.png,+1 (901) 329-5541,"Hey, Felician, it's Tom Cotton. Ifwe don't flip Minnesota red,Chuck Schumer gains control.We can't let that happen. Donatenow: win20.com/s5d", 11:19 AM, Oct 17
20201028_225127000_iOS.png,+1 (614) 983-3851,"If every person on this list gives$35, Trump & Republicans win inNov. Felician, can we count onyou? 600% Match for 60 min!Act now: trump-news.co/1ltm", 7:02 AM, Oct 17
20201028_225134000_iOS.png,+1 (805) 635-3859,"It's Martha. Felician, Mark Kellyjust outraised me! If he flips AZ,he could block this confirmation& turn the Senate blue! Fightback: got-us.com/z01", 4:33 PM, Oct 16
20201028_225139000_iOS.png,+1 (724) 304-6974,"It's Eric Trump: | just heardBiden's hosting 50+ fundraisers,Felician! They may have anti-Trump elites, but we have you!6x-match for 1 hr reops20.com/8fm", 10:24 AM, Oct 16
20201028_225146000_iOS.png,+1 (231) 202-3176,Felician this is Tim Scott. GA'sSenate race is a must-win. If JonOssoff wins he can block JudgeBarrett's confirmation. Supportsen. Perdue run-us.com/c!7a ® *, 9:35 AM, Oct 16
